POLYMER_NAME,SMILES,NumHeavyAtoms,NumHeteroatoms,FractionCSP3,NumAliphaticRings,NumAromaticRings,RadiusOfGyration,Asphericity,Eccentricity,LabuteASA,BalabanJ,BertzCT,MaxPartialCharge,MinPartialCharge,HeavyAtomMolWt,NHOHCount,NOCount
ABS_Modified,C=CC1=CC=CC=C1C,9,0,0.111111111111111,0,1,2.11364144312565,0.28145581312502,0.922133372358117,69.8863314321807,3.94871664839666,549.344359224468,0.0629116385365401,-0.098460183758595,108.099,0,0
HIPS_Modified,C=CC1=CC=CC=C1C,9,0,0.111111111111111,0,1,2.11364144312565,0.28145581312502,0.922133372358117,69.8863314321807,3.94871664839666,549.344359224468,0.0629116385365401,-0.098460183758595,108.099,0,0
ASA_Modified,C=CC#NC,,,,,,,,,,,,,,,,
SAN_Modified,C=CC#NC,,,,,,,,,,,,,,,,
PEEK_Modified,O=C1C=CC(=O)C=C1OC2=CC=CC=C2OCC,18,4,0.142857142857143,1,1,3.33069296915147,0.390451930742709,0.961678363692282,121.375683477887,2.71935954229431,1020.97445175633,0.220806996146639,-0.489966713566716,232.15,0,4
PEI_Modified,O=C1NC(=O)C2=CC=CC=C2O1CC,,,,,,,,,,,,,,,,
PPS_Modified,C1=CC=C(SC)C=C1,8,1,0.142857142857143,0,1,2.07673826587834,0.417834744445324,0.966247189035715,65.1592192606013,3.40191458331332,394.370606952028,0.0634517788173618,-0.129601826214669,116.144,0,0
PSU_Modified,O=S(=O)(c1ccccc1)c2ccccc2C,16,3,0.0769230769230769,0,2,2.8614834903006,0.331319164115029,0.948958003827245,112.338483823758,3.14391611647234,1075.20812251534,0.206348702655085,-0.218504050768214,220.208,0,2
PES_Modified,O=S(=O)(c1ccc(cc1))c2ccc(cc2)C,16,3,0.0769230769230769,0,2,3.0001753485217,0.330348874108101,0.947298720052571,112.338483823758,3.02882697731575,1045.95812251534,0.206086962131061,-0.218514322849328,220.208,0,2
TPE_Modified,CCOCCOC,7,2,1,0,0,2.28914132621546,0.64990450249339,0.990892266476709,61.2857559464435,5.18129757402012,313.061882263684,0.0699645105583222,-0.382297746198481,92.053,0,2
TPO_Modified,CCCCOC,6,1,1,0,0,2.01936344309892,0.550860369949465,0.982785057591737,56.1722107169367,5.5038247491025,296.570080778203,0.0566392885333049,-0.384690379119601,76.054,0,1
EVA_Modified,CCOCCOC,7,2,1,0,0,2.28914132621546,0.64990450249339,0.990892266476709,61.2857559464435,5.18129757402012,313.061882263684,0.0699645105583222,-0.382297746198481,92.053,0,2
PCL_Modified,OCCCCCC(=O)OCC,11,3,0.875,0,0,2.98540933038029,0.55489956553573,0.982857937532655,89.9293451711647,6.14480058578576,562.502919029396,0.305267437763822,-0.465969207847374,144.085,1,3
PBS_Modified,OCCCC(=O)OCCCC(=O)OCC,15,5,0.8,0,0,3.34316673240254,0.524260867678211,0.980371651681095,114.744237729844,6.09351983265979,754.20492984622,0.305399533572208,-0.465967626835839,200.105,1,5
PBAT_Modified,OCCCC(=O)OCC1=CC=CC=C1C(=O)OCC,19,5,0.428571428571429,0,1,3.65495135695756,0.418499022360889,0.966609329593342,137.071447707115,3.75830695195549,1077.80073995728,0.338022311050451,-0.46238242363775,248.149,1,5
PHB_Modified,CC(O)C(=O)OCCC,9,3,0.833333333333333,0,0,2.41169878679959,0.524343485716891,0.979927509874753,71.5795789417002,5.52294207837984,396.777394376268,0.33415760546268,-0.463795068827369,120.063,1,3
PHBV_Modified,CC(O)C(=O)OCCCC,10,3,0.857142857142857,0,0,2.70949450362687,0.562031849074379,0.983697263169951,80.7544620564324,5.83218972821197,477.740191583363,0.334157774661087,-0.463784202761289,132.074,1,3
